ID,TITLE,CLASSE
1041354,Acessório T - Jean Bag For Girls para DS Lite,não-smartphone
1041782,Carrinho de Bebê Berço-Passeio - Pegasus Pink - Galzerano,não-smartphone
1041834,Carrinho de Bebê para Gêmeos Berço-Passeio - Twin - Galzerano,não-smartphone
1042568,Car Center - Calesita,não-smartphone
1042584,Donka Trem com Som - Calesita,não-smartphone
1043696,Interfone HDL AZ-01 Branco,não-smartphone
1940486,"Smartphone LG Optimus L7 II Dual P716 Preto com Dual Chip, Tela de 4.3”, Android 4.1, Câmera 8MP, 3G, Wi-Fi, aGPS, Bluetooth e Cartão 4GB - Celular LG Optimus L7 II Dual",smartphone
2277815,"Smartphone Samsung Galaxy S4 Mini Duos Preto com Dual Chip, Tela 4.3"", Android 4.2, Câmera 8MP e Processador Dual Core de 1.7 Ghz - Claro - Galaxy S4 Mini Duos",smartphone
2961097,"Smartphone  Samsung Galaxy S5 SM-G900M Branco com Tela 5.1"", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz",smartphone
2961099,"Smartphone  Samsung Galaxy S5 SM-G900M Dourado com Tela 5.1"", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz",smartphone
3031744,"Smartphone LG L90 Dual D410 Preto com Tela de 4.7”, Dual Chip, Android 4.4, Câmera 8MP e Processador Quad Core de 1.2 GHz",smartphone
3076120,"Smartphone  Samsung Galaxy Core Plus Branco com Tela 4.3"", TV Digital, Dual Chip, Android 4.3, Processador Dual Core 1.2 Ghz e Câmera de 5MP",smartphone
3507499,"Smartphone Samsung Galaxy Pocket 2 Duos SM-G110B Branco com Dual Chip, Android 4.4, Wi-Fi, 3G, GPS, Câmera 2MP, FM, MP3 e Bluetooth",smartphone
3507899,"Smartphone  Samsung Galaxy S5 Duos SM-G900 Preto com Dual Chip,Tela 5.1"", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz",smartphone
3580503,"Smartphone Samsung Galaxy Ace 4 Lite Duos G313M Preto com Tela de 4”, Dual Chip, Android 4.4, Câmera 3MP, 3G, WiFi e Processador de 1GHz",smartphone
3608270,"Smartphone LG G2 Lite D295 Branco com Tela de 4.5”, Dual Chip, Android 4.4, Câmera 8MP, 3G e Processador Quad Core de 1.2GHz",smartphone
3638254,"Smartphone Samsung Galaxy Young 2 Duos G130M Branco com Tela 3.5"", Dual Chip, Android 4.4, 3G, Wi-Fi, GPS, Rádio FM e Câmera de 3MP.",smartphone
3638255,"Smartphone Samsung Galaxy Young 2 Duos G130M Cinza com Tela 3.5"", Dual Chip, Android 4.4, 3G, Wi-Fi, GPS, Rádio FM e Câmera de 3MP.",smartphone
3842557,"Smartphone Alcatel One Touch Pop C7 Branco com Tela 5”, Dual Chip, Câmera 8MP, Android 4.2, 3G e Processador Quad Core de 1.3 Ghz - Vivo",smartphone
4174797,"Smartphone Samsung Galaxy Win 2 Duos TV Branco com Dual Chip, Tela de 4.5"", TV Digital, Android 4.4, Câm. de 5MP e Processador Quad Core de1.2 Ghz",smartphone
4174800,"Smartphone Samsung Galaxy Ace 4 Duos G313M/DS Cinza com Tela de 4”, Dual Chip, Android 4.4, Câmera 5MP, 3G e Processador Dual Core de 1GHz",smartphone
4186072,"Smartphone Samsung Galaxy A7 4G Duos SM-A700FD Branco com Dual Chip, Tela 5.5"", 4G, Android 4.4, Câmera 13MP e Processador Octa Core",smartphone
4188382,"Smartphone Samsung Galaxy Ace 4 Duos G313M/DS Branco com Tela de 4”, Dual Chip, Android 4.4, Câmera 5MP, 3G e Processador Dual Core de 1GHz",smartphone
4333921,"Smartphone Samsung Galaxy E5 4G Duos E500M/DS Branco com Dual Chip, Tela 5"" HD sAMOLED, Android 4.4, Câmera 8MP e Processador Quad Core 1.2GHz",smartphone
4382821,"Smartphone Samsung Galaxy A5 4G Duos A500M/DS Dourado com Dual Chip, Tela 5"", Android 4.4, Câm.13MP e Processador Quad Core 1.2GHz",smartphone
4457760,"Smartphone Desbloqueado Samsung Galaxy S6 Edge SM-G925I Verde com 64GB, Tela de 5.1"", Android 5.0, 4G, Câmera 16 MP e Processador Octa Core",smartphone
4457762,"Smartphone Samsung Galaxy S6 Edge SM-G925I Preto com 64GB, Tela de 5.1"", Android 5.0, 4G, Câmera 16 MP e Processador Octa Core",smartphone
4457764,"Smartphone Samsung Galaxy S6 Edge SM-G925I Branco com 64GB, Tela de 5.1"", Android 5.0, 4G, Câmera 16 MP e Processador Octa Core",smartphone
4626851,"Smartphone Microsoft Lumia 640XL Dual Preto com Windows Phone 8.1, Tela de 5.7"", Dual Chip, 3G, Câmera 13MP e Processador Quad Core de 1.2 GHz",smartphone
5409352,"Smartphone Samsung Galaxy Win 2 Duos TV G360BT Cinza com Dual Chip, Tela de 4.5"", TV Digital, Android 4.4, Câm. de 5MP e Processador Quad Core 1.2 GHz",smartphone
5409353,"Smartphone Samsung Galaxy Win 2 Duos TV G360BT Branco com Dual Chip, Tela de 4.5"", TV Digital, Android 4.4, Câm. de 5MP e Processador Quad Core 1.2GHz",smartphone
6034913,"Smartphone Positivo Quattro X435 Preto com Dual Chip, Tela 5”, Android 5.1, Câmera 5MP, 4G, Wi-Fi, Bluetooth e Processador Quad Core 1.0GHz",smartphone
7259387,"Smartphone LG K4 Indigo com 8GB, Dual Chip, Tela de 4.5"", 4G, Android 5.1, Câmera 5MP e Processador Quad Core de 1GHz",smartphone
7259389,"Smartphone LG K10 TV Índigo com 16GB, Dual Chip, Tela de 5.3"" HD, 4G, Android 6.0, Câmera 13MP e Processador Octa Core de 1.14 GHz",smartphone
7528302,"Smartphone Multilaser MS50 Colors Preto com Tela 5.0”, Dual Chip, Android 5.0, Câmera 8MP, Wi-Fi, 3G, Bluetooth e Processador Quad Core de 1.3 GHz",smartphone
7528303,"Smartphone Multilaser MS50 Colors Branco com Tela 5.0”, Dual Chip, Android 5.0, Câmera 8MP, Wi-Fi, 3G, Bluetooth e Processador Quad Core de 1.3 GHz",smartphone
7528304,"Smartphone Multilaser MS50 Senior Preto com Tela 5.0”, Dual Chip, Android 5.0, Câmera 8MP, Wi-Fi, 3G, Bluetooth e Processador Quad Core de 1.3 GHz",smartphone
7923488,Smartphone ASUS Zenfone II ZE551 16GB 4G Tela 5.5 ZE551ML-6C705WW - BVOLT,smartphone
8105618,"Smartphone Asus Zenfone 2 ZE551ML, 4G Android 5.0 Intel Quad Core 2.3GHz 16GB Câmera 13MP Tela 5.5, Dourado",smartphone
10025085,Moroccanoil Brilho Reflexivo Glimmer Shine 100 ml,não-smartphone
10025985,Telefone de Mesa Estilo Roda Azul c/ Luz - AR5063,não-smartphone
10026064,Maquina Para Corte E Acabamento De Pelo / Cabelo Wahl Detailer 5 Star Series Bivolt,não-smartphone
10026491,Kit 4 Tinta Epson Universal High Definition Aton Cmyk 1 Litro,não-smartphone
10026591,Caminhão Super Bombeiro Resgate Som E Luz - Magic Toys,não-smartphone
10027375,Acordeon Sanfona 48 Baixos Michael Acm4803 C/ Bag E Hardcase,não-smartphone
10027491,"Capa Folio Universal Rotativa 4"" Preta - Muvit",não-smartphone
10027515,Capa Iphone 6 Plus - Muvit,não-smartphone
10027542,Transformers 4 Power Battlers Dinobot Strafe - Hasbro,não-smartphone
10028171,Lixeira Basculante Grande 60 Litros Sanremo,não-smartphone
10029373,Violão Infantil Acústico Nylon Michael Vm10e Bk 1/4 Preto,não-smartphone
10029788,Marvel-Estojo Xeryus 4535,não-smartphone
10029794,Playground Modular Advanced - Xalingo,não-smartphone
10029797,Violão Jumbo Elétrico Michael Vm625dt Venetian Com Bag,não-smartphone
10029798,Violão Elétrico Michael Vm921 Folk Aço Natural Fosco C/Bag,não-smartphone
10029821,Cars-Rádio Controle Mater Tokyo Drift Yellow 2413,não-smartphone
10029845,Violão Elétrico Michael Venetian Vm625dtst Aço - Natural Satin,não-smartphone
